County,State,StateCode,LBW,LBWind,InfantMort,InfantMortInd
Pueblo,Colorado,CO,9.4,4,7.6,3
Rio Blanco,Colorado,CO,8.4,4,8.1,4
Rio Grande,Colorado,CO,8.5,4,4.7,3
Routt,Colorado,CO,9.1,4,5.5,3
Saguache,Colorado,CO,9.7,4,3.8,3
San Juan,Colorado,CO,12.1,4,NA,NA
San Miguel,Colorado,CO,7.8,4,0,3
Sedgwick,Colorado,CO,4.9,3,NA,NA
Summit,Colorado,CO,12.5,4,5.6,3
Teller,Colorado,CO,11,4,5.7,3
Washington,Colorado,CO,6.8,4,NA,NA
Weld,Colorado,CO,7.6,4,7.3,4
Yuma,Colorado,CO,6.6,4,8.8,4
Fairfield,Connecticut,CT,7.1,3,5.3,3
Hartford,Connecticut,CT,8.1,4,6.3,4
Litchfield,Connecticut,CT,6.2,3,4.3,3
Middlesex,Connecticut,CT,6.9,4,4.6,3
New Haven,Connecticut,CT,8.3,4,6.8,4
New London,Connecticut,CT,6.6,3,6.7,4
Tolland,Connecticut,CT,6.4,3,4.8,3
Windham,Connecticut,CT,7.3,4,5.3,3
Kent,Delaware,DE,9.5,4,11,4
New Castle,Delaware,DE,10,4,9.4,4
Sussex,Delaware,DE,7.9,3,8.5,4
Washington,District of Columbia,DC,11.5,4,10.9,4
Alachua,Florida,FL,8.8,4,11,4
Baker,Florida,FL,7.3,3,8.9,4
Bay,Florida,FL,8.4,4,12.6,4
Bradford,Florida,FL,8.4,3,10.4,4
Brevard,Florida,FL,7.7,3,6.5,3
Broward,Florida,FL,8.6,4,6.5,4
Calhoun,Florida,FL,8.6,3,9.8,3
Charlotte,Florida,FL,7.8,4,7.1,4
Citrus,Florida,FL,7.1,3,6.2,3
Clay,Florida,FL,7,4,7.6,4
Collier,Florida,FL,6.3,3,5.5,3
Columbia,Florida,FL,9.2,3,10.9,4
DeSoto,Florida,FL,7.5,3,7.7,3
Dixie,Florida,FL,8.3,3,11,4
Duval,Florida,FL,9.5,4,10.3,4
Escambia,Florida,FL,10.1,4,11.4,4
Flagler,Florida,FL,6.9,4,7.1,4
Franklin,Florida,FL,8.1,4,19.6,4
Gadsden,Florida,FL,11.4,4,15.6,4
Gilchrist,Florida,FL,7.9,4,10,4
Glades,Florida,FL,7.5,4,4.2,3
Gulf,Florida,FL,7.9,3,13.6,4
Hamilton,Florida,FL,9,3,8.8,3
Hardee,Florida,FL,6.7,3,5.3,3
Hendry,Florida,FL,7.9,3,6.7,3
Hernando,Florida,FL,6.9,3,6.5,3
Highlands,Florida,FL,7.7,4,9.8,4
Hillsborough,Florida,FL,8.5,3,8.7,4
Holmes,Florida,FL,7.4,3,6.8,3
Indian River,Florida,FL,7.5,4,6.7,4
Jackson,Florida,FL,10,4,5.5,3
Jefferson,Florida,FL,7.7,3,10.9,4
Lafayette,Florida,FL,7.9,3,6.9,3
Lake,Florida,FL,8.2,4,6.4,3
Lee,Florida,FL,8.3,4,6.5,3
Leon,Florida,FL,9.4,4,11,4
Levy,Florida,FL,7.9,3,7,3
Liberty,Florida,FL,9.4,4,8.3,4
Madison,Florida,FL,11.7,4,10.8,4
Manatee,Florida,FL,8,4,7.2,3
